parça (model adı);kalem;adet;tanım / ürün;not / ölçü;tür
kalip_ayagi_2;kalip ayagi 2;1;alüminyum 6082 · CNC;zarf 40.0 × 997.0 × 40.0;ÜRETİM
kalip_ayagi_3;kalip ayagi 3;1;alüminyum 6082 · CNC;zarf 40.0 × 997.0 × 40.0;ÜRETİM
tepsi_cubugu_0;tepsi cubugu 0;1;304 sac · lazer + büküm;zarf 55.0 × 8.0 × 320.0;ÜRETİM
tepsi_ayagi_0;tepsi ayagi 0;1;304 sac · lazer + büküm;zarf 16.0 × 10.0 × 16.0;ÜRETİM
tepsi_cubugu_1;tepsi cubugu 1;1;304 sac · lazer + büküm;zarf 60.0 × 8.0 × 320.0;ÜRETİM
tepsi_ayagi_1;tepsi ayagi 1;1;304 sac · lazer + büküm;zarf 16.0 × 10.0 × 16.0;ÜRETİM
tepsi_cubugu_2;tepsi cubugu 2;1;304 sac · lazer + büküm;zarf 60.0 × 8.0 × 320.0;ÜRETİM
tepsi_ayagi_2;tepsi ayagi 2;1;304 sac · lazer + büküm;zarf 16.0 × 10.0 × 16.0;ÜRETİM
tepsi_cubugu_3;tepsi cubugu 3;1;304 sac · lazer + büküm;zarf 55.0 × 8.0 × 320.0;ÜRETİM
tepsi_ayagi_3;tepsi ayagi 3;1;304 sac · lazer + büküm;zarf 16.0 × 10.0 × 16.0;ÜRETİM
kalip_rayi_arka_z;Kalıp rayı 304 · 6 mm;1;arka yan duvarı kaldırır;üretim;ÜRETİM
kalip_taragi_on_z_0;Kalıp tarağı 304 · 6 mm (4 diş);1;ön yan duvarı tutar · dişleri arasından robot çatalı geçer;üretim;ÜRETİM
kalip_taragi_on_z_1;kalip taragi on z 1;1;304 sac · lazer + büküm;zarf 60.0 × 63.5 × 6.0;ÜRETİM
kalip_taragi_on_z_2;kalip taragi on z 2;1;304 sac · lazer + büküm;zarf 60.0 × 63.5 × 6.0;ÜRETİM
kalip_taragi_on_z_3;kalip taragi on z 3;1;304 sac · lazer + büküm;zarf 40.0 × 63.5 × 6.0;ÜRETİM
kalip_on_x_rayi;Kalıp ön rayı 304 · 4,5 mm;1;ön duvar 20 mm geç kalkar (köşe tırnakları önce döner);üretim;ÜRETİM
kalip_arka_x_dayagi;kalip arka x dayagi;1;304 sac · lazer + büküm;zarf 6.0 × 26.0 × 320.0;ÜRETİM
kopru_plakasi;Köprü sacı 304 · 3 mm;1;pizza yolu · katlamada 30 mm aşağıda;üretim;ÜRETİM
kopru_tasiyici;kopru tasiyici;1;alüminyum 6082 · CNC;zarf 34.0 × 36.6 × 80.0;ÜRETİM
kopru_kilavuz_mili_0;Kılavuz mili Ø12 h6 + lineer burç LM12UU;2;köprü;katalog;SATIN ALMA
kopru_burcu_0;kopru burcu 0;1;304 / S235 · lazer / torna;zarf 21.2 × 30.2 × 21.0;ÜRETİM
kopru_kilavuz_mili_1;kopru kilavuz mili 1;1;304 / S235 · lazer / torna;zarf 12.1 × 166.6 × 12.0;ÜRETİM
kopru_burcu_1;kopru burcu 1;1;304 / S235 · lazer / torna;zarf 21.2 × 30.2 × 21.0;ÜRETİM
kopru_burc_plakasi;kopru burc plakasi;1;alüminyum 6082 · CNC;zarf 54.0 × 6.1 × 280.0;ÜRETİM
kopru_plaka_tutucu;kopru plaka tutucu;1;alüminyum 6082 · CNC;zarf 14.5 × 21.0 × 280.0;ÜRETİM
kopru_vidasi_mil;Bilyalı vida TBI/HIWIN SFU1605;1;Ø16 · hatve 5 · boy 112 · uçları BK12/BF12 işli;SFU1605 katalog (fluxelectronix / TBI);SATIN ALMA
kopru_vidasi_somun;Bilyalı somun SFU1605-4;1;flanş Ø48 · gövde Ø28 · boy 57;katalog ölçüsü;SATIN ALMA
kopru_BK12;Destek BK12 (sabit);1;60 × 43 × 32.5 · merkez yüksekliği 25;MISUMI BK/BF · fonlinearguide.com;SATIN ALMA
kopru_kaplini;Kaplin (kavramalı) Ø25 × 30;1;8 × 12 / 8 × 10 delik;MISUMI MCKL / Ruland · katalog;SATIN ALMA
kopru_motoru;Step motor AutomationDirect SureStep STP-MTR-23079;1;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP;SATIN ALMA
kopru_motor_braketi;kopru motor braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 6.3 × 60.0;ÜRETİM
kopru_motor_askisi;kopru motor askisi;1;alüminyum 6082 · CNC;zarf 14.5 × 47.5 × 60.0;ÜRETİM
kopru_alt_sensor;Endüktif sensör Omron E2E-X2D1-N;1;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü;SATIN ALMA
piston_kafasi;Piston kafası 6082 · 296 × 296 × 20 · ön alt kenar 6 mm pah;1;tabana basar, iç paneli kilitler, kapağı bastırır;üretim;ÜRETİM
piston_kaburgasi_0;piston kaburgasi 0;1;alüminyum 6082 · CNC;zarf 8.0 × 50.0 × 286.0;ÜRETİM
piston_kaburgasi_1;piston kaburgasi 1;1;alüminyum 6082 · CNC;zarf 8.0 × 50.0 × 286.0;ÜRETİM
piston_baglanti_plakasi;piston baglanti plakasi;1;alüminyum 6082 · CNC;zarf 200.0 × 515.0 × 10.0;ÜRETİM
piston_eksen_plakasi;piston eksen plakasi;1;alüminyum 6082 · CNC;zarf 200.0 × 515.0 × 5.0;ÜRETİM
piston_eksen_askisi;piston eksen askisi;1;alüminyum 6082 · CNC;zarf 200.0 × 13.5 × 14.0;ÜRETİM
piston_rayi_0;Lineer ray HIWIN HGR15R;2;piston · boy 515;hiwin.com;SATIN ALMA
piston_arabasi_00;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
piston_arabasi_01;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
piston_rayi_1;Lineer ray HIWIN HGR15R;0;;aynı kalemin eşi (adet ana satırda);ALT
piston_arabasi_10;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
piston_arabasi_11;Lineer araba HIWIN HGH15CA;1;flanşsız · 34 × 61,4 · H 28;TraceParts 90-03042020-037166;SATIN ALMA
piston_vidasi_mil;Bilyalı vida TBI/HIWIN SFU1610;1;Ø16 · hatve 10 · boy 493 · uçları BK12/BF12 işli;SFU1610 katalog (fluxelectronix / TBI);SATIN ALMA
piston_vidasi_somun;Bilyalı somun SFU1610-4;1;flanş Ø48 · gövde Ø28 · boy 57;katalog ölçüsü;SATIN ALMA
piston_somun_braketi;piston somun braketi;1;alüminyum 6082 · CNC;zarf 60.0 × 10.2 × 52.0;ÜRETİM
piston_BK12;Destek BK12 (sabit);1;60 × 43 × 32.5 · merkez yüksekliği 25;MISUMI BK/BF · fonlinearguide.com;SATIN ALMA
piston_BK_askisi_0;piston BK askisi 0;1;alüminyum 6082 · CNC;zarf 12.0 × 38.0 × 36.0;ÜRETİM
piston_BK_askisi_1;piston BK askisi 1;1;alüminyum 6082 · CNC;zarf 12.0 × 38.0 × 36.0;ÜRETİM
piston_kasnak_vida;Kasnak GT3 20 diş;1;PD 19.1 · 9 mm kayış;gates.com GT3 · katalog;SATIN ALMA
piston_kasnak_motor;Kasnak GT3 20 diş;1;PD 19.1 · 9 mm kayış;gates.com GT3 · katalog;SATIN ALMA
piston_kayisi;Kayış GT3 9 mm;1;kapalı çevrim;gates.com;SATIN ALMA
piston_motoru;Step motor AutomationDirect SureStep STP-MTR-23079;1;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP;SATIN ALMA
piston_motor_braketi;piston motor braketi;1;alüminyum 6082 · CNC;zarf 64.0 × 4.3 × 64.0;ÜRETİM
piston_motor_askisi_0;piston motor askisi 0;1;alüminyum 6082 · CNC;zarf 8.0 × 34.5 × 14.0;ÜRETİM
piston_motor_askisi_1;piston motor askisi 1;1;alüminyum 6082 · CNC;zarf 8.0 × 34.5 × 14.0;ÜRETİM
piston_ust_sensor;Endüktif sensör Omron E2E-X2D1-N;1;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü;SATIN ALMA
devirme_parmagi;Devirme parmağı 304 · 8 mm;1;R 72 · 140° döner;üretim;ÜRETİM
parmak_mili;parmak mili;1;304 / S235 · lazer / torna;zarf 12.1 × 12.0 × 75.1;ÜRETİM
parmak_yatagi_0;Flanşlı yatak KFL001 (Ø12);2;parmak mili;katalog;SATIN ALMA
parmak_yatagi_1;parmak yatagi 1;1;304 / S235 · lazer / torna;zarf 32.0 × 32.0 × 10.1;ÜRETİM
parmak_yatak_askisi;parmak yatak askisi;1;alüminyum 6082 · CNC;zarf 32.0 × 224.0 × 50.0;ÜRETİM
parmak_yatak_kolu_on;parmak yatak kolu on;1;alüminyum 6082 · CNC;zarf 32.0 × 10.0 × 16.0;ÜRETİM
parmak_reduktoru;Planet redüktör SureGear PGCN23-1025;1;10:1 · 5 N·m · NEMA 23;adcpn.com/pn/PGCN23-1025 · TraceParts STEP;SATIN ALMA
parmak_motoru;Step motor AutomationDirect SureStep STP-MTR-23079;1;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP;SATIN ALMA
parmak_red_braketi;parmak red braketi;1;alüminyum 6082 · CNC;zarf 58.0 × 211.0 × 7.0;ÜRETİM
parmak_sensor;Endüktif sensör Omron E2E-X2D1-N;1;M8 · 2 mm · DC 2 telli;omron.com E2E · katalog ölçüsü;SATIN ALMA
kapak_masasi;Kapak masası 304 · 3 mm;1;264 × 312 · kol yarığı;üretim;ÜRETİM
kapak_masasi_diregi_0;kapak masasi diregi 0;1;304 / S235 · lazer / torna;zarf 16.1 × 145.1 × 16.0;ÜRETİM
kapak_masasi_diregi_1;kapak masasi diregi 1;1;304 / S235 · lazer / torna;zarf 16.1 × 145.1 × 16.0;ÜRETİM
kapak_alt_plakasi;kapak alt plakasi;1;alüminyum 6082 · CNC;zarf 360.0 × 6.2 × 342.0;ÜRETİM
kapak_alt_plaka_ayagi_0;kapak alt plaka ayagi 0;1;alüminyum 6082 · CNC;zarf 20.0 × 911.0 × 20.0;ÜRETİM
kapak_alt_plaka_ayagi_1;kapak alt plaka ayagi 1;1;alüminyum 6082 · CNC;zarf 20.0 × 911.0 × 20.0;ÜRETİM
flap_katlayici_U;Flap katlayıcı U çerçeve 304 · 3 mm;1;37,6 mm kalkar: kapağın 3 flapını 90° kaldırır;üretim;ÜRETİM
flap_katlayici_alt_bagi;flap katlayici alt bagi;1;alüminyum 6082 · CNC;zarf 15.1 × 54.2 × 324.2;ÜRETİM
flap_katlayici_somun_kolu;flap katlayici somun kolu;1;alüminyum 6082 · CNC;zarf 33.4 × 10.1 × 60.0;ÜRETİM
flap_katlayici_vidasi_mil;Bilyalı vida TBI/HIWIN SFU1605;1;Ø16 · hatve 5 · boy 200 · uçları BK12/BF12 işli;SFU1605 katalog (fluxelectronix / TBI);SATIN ALMA
flap_katlayici_vidasi_somun;Bilyalı somun SFU1605-4;1;flanş Ø48 · gövde Ø28 · boy 57;katalog ölçüsü;SATIN ALMA
flap_katlayici_motoru;Step motor AutomationDirect SureStep STP-MTR-23079;1;NEMA 23 · 1,95 N·m (276 oz-in) · 2,8 A;automationdirect.com STP-MTR-23079 · TraceParts STEP;SATIN ALMA
